x1,y1,z1,x2,y2,z2
-1.029688236,-2.495733542,1.156597894,[Horizons] SMALL BODY #C(500@10)_T(185 Eunike) (1/1),SMALL,
29.2493431,-6.336305372,-0.5436845352,[Horizons] MAJOR BODY #C(500@10)_T(899) (1/1),BIG,
16.20266427,11.40939344,-0.1674803058,[Horizons] MAJOR BODY #C(500@10)_T(799) (1/1),BIG,
0.3120809101,-1.768510985,-0.09489362017,[Horizons] SMALL BODY #C(500@10)_T(800 Kressmannia (A915 FG)) (1/1),SMALL,
2.850082021,-0.3812337577,-0.6969907341,[Horizons] SMALL BODY #C(500@10)_T(729 Watsonia (A912 CE)) (1/1),SMALL,
3.101016104,-1.336664352,-0.2729772249,[Horizons] SMALL BODY #C(500@10)_T(181 Eucharis) (1/1),SMALL,
-3.012876807,-0.9557246393,0.6275001496,[Horizons] SMALL BODY #C(500@10)_T(166 Rhodope) (1/1),SMALL,
2.349063308,-0.9182781679,0.00518538363,[Horizons] SMALL BODY #C(500@10)_T(163 Erigone) (1/1),SMALL,
2.073117797,-0.3084330306,-0.007108129666,[Horizons] SMALL BODY #C(500@10)_T(149 Medusa) (1/1),SMALL,
-0.897431771,-3.482744887,-0.02025897002,[Horizons] SMALL BODY #C(500@10)_T(121 Hermione) (1/1),SMALL,
-2.466730274,-1.815910331,-0.1636199604,[Horizons] SMALL BODY #C(500@10)_T(108 Hecuba) (1/1),SMALL,
-0.7341724721,2.361530818,-0.9590879006,[Horizons] SMALL BODY #C(500@10)_T(105 Artemis) (1/1),SMALL,
2.512751352,1.165088573,-0.03901350466,[Horizons] SMALL BODY #C(500@10)_T(104 Klymene) (1/1),SMALL,
2.337127169,1.076141508,-0.2272887897,[Horizons] SMALL BODY #C(500@10)_T(103 Hera) (1/1),SMALL,
0.4553787753,-2.30402335,0.200251111,[Horizons] SMALL BODY #C(500@10)_T(102 Miriam) (1/1),SMALL,
-2.260594774,0.8308715837,0.5226994781,[Horizons] SMALL BODY #C(500@10)_T(99 Dike) (1/1),SMALL,
-2.493934845,1.560072706,0.1405938413,[Horizons] SMALL BODY #C(500@10)_T(101 Helena) (1/1),SMALL,
-0.1867961257,3.096874781,0.4667595073,[Horizons] SMALL BODY #C(500@10)_T(93 Minerva) (1/1),SMALL,
